"No.","Time","Source","Destination","Protocol","Length","RTT","Info"
"210","4.582861","10.150.33.220","104.81.18.27","TCP","66","0.000080000","55636  >  443 [ACK] Seq=3441 Ack=37477 Win=130752 Len=0 TSval=613555552 TSecr=176845153"
"219","4.818481","172.217.24.238","10.150.33.220","TCP","66","0.003654000","443  >  55609 [ACK] Seq=1 Ack=453 Win=188 Len=0 TSval=176845177 TSecr=613555783"
"220","4.818985","172.217.24.238","10.150.33.220","TCP","66","0.003438000","443  >  55609 [ACK] Seq=1 Ack=492 Win=188 Len=0 TSval=176845177 TSecr=613555783"
"221","4.819481","172.217.24.238","10.150.33.220","TCP","66","0.003933000","443  >  55609 [ACK] Seq=1 Ack=1876 Win=209 Len=0 TSval=176845177 TSecr=613555783"
"222","4.819727","172.217.24.238","10.150.33.220","TCP","66","0.004179000","443  >  55609 [ACK] Seq=1 Ack=2258 Win=231 Len=0 TSval=176845177 TSecr=613555783"
"226","4.846911","13.33.142.118","10.150.33.220","TCP","74","0.001391000","443  >  55637 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=1396 SACK_PERM=1 TSval=176845180 TSecr=613555812 WS=128"
"227","4.847005","10.150.33.220","13.33.142.118","TCP","66","0.000094000","55637  >  443 [ACK] Seq=1 Ack=1 Win=131456 Len=0 TSval=613555813 TSecr=176845180"
"229","4.849257","13.33.142.118","10.150.33.220","TCP","66","0.001740000","443  >  55637 [ACK] Seq=1 Ack=518 Win=19456 Len=0 TSval=176845180 TSecr=613555813"
"231","4.874204","10.150.33.220","172.217.24.238","TCP","66","0.000086000","55609  >  443 [ACK] Seq=2258 Ack=40 Win=2047 Len=0 TSval=613555838 TSecr=176845183"
"234","4.933906","10.150.33.220","13.33.142.118","TCP","66","0.000078000","55637  >  443 [ACK] Seq=518 Ack=1449 Win=131008 Len=0 TSval=613555897 TSecr=176845188"
"241","4.939233","10.150.33.220","13.33.142.118","TCP","66","0.000072000","55637  >  443 [ACK] Seq=518 Ack=2897 Win=131008 Len=0 TSval=613555902 TSecr=176845188"
"245","4.939400","10.150.33.220","13.33.142.118","TCP","66","0.000049000","55637  >  443 [ACK] Seq=518 Ack=4345 Win=129600 Len=0 TSval=613555902 TSecr=176845188"
"246","4.939401","10.150.33.220","13.33.142.118","TCP","66","0.000049000","55637  >  443 [ACK] Seq=518 Ack=4957 Win=128960 Len=0 TSval=613555902 TSecr=176845188"
"247","4.940099","104.81.18.27","10.150.33.220","TCP","66","0.002956000","443  >  55636 [ACK] Seq=37477 Ack=3865 Win=27776 Len=0 TSval=176845189 TSecr=613555900"
"248","4.941283","104.81.18.27","10.150.33.220","TCP","66","0.003319000","443  >  55636 [ACK] Seq=37477 Ack=4076 Win=27776 Len=0 TSval=176845189 TSecr=613555900"
