No.,Time,Source,Destination,Protocol,Length,RTT,Info
146,4.771622,10.19.6.231,31.13.79.18,TCP,66,0.000137,54972  >  443 [ACK] Seq=269 Ack=202 Win=2047 Len=0 TSval=1054095182 TSecr=216036520
149,4.774555,10.19.6.231,118.214.44.253,TCP,66,0.000055,55328  >  443 [ACK] Seq=3537 Ack=15324 Win=128128 Len=0 TSval=1054095184 TSecr=216036520
153,4.789791,10.19.6.231,118.214.44.253,TCP,66,0.000074,55328  >  443 [ACK] Seq=3537 Ack=18220 Win=128128 Len=0 TSval=1054095199 TSecr=216036522
159,4.801505,10.19.6.231,118.214.44.253,TCP,66,0.000096,55328  >  443 [ACK] Seq=3537 Ack=21116 Win=129600 Len=0 TSval=1054095210 TSecr=216036523
160,4.801562,10.19.6.231,118.214.44.253,TCP,66,0.000146,55328  >  443 [ACK] Seq=3537 Ack=22613 Win=128064 Len=0 TSval=1054095210 TSecr=216036523
173,4.814952,10.19.6.231,118.214.44.253,TCP,66,0.000106,55328  >  443 [ACK] Seq=3537 Ack=24061 Win=129600 Len=0 TSval=1054095224 TSecr=216036524
174,4.814952,10.19.6.231,118.214.44.253,TCP,66,0.0001,55328  >  443 [ACK] Seq=3537 Ack=25509 Win=128128 Len=0 TSval=1054095224 TSecr=216036524
177,4.819748,10.19.6.231,118.214.44.253,TCP,66,0.000086,55328  >  443 [ACK] Seq=3537 Ack=26908 Win=129664 Len=0 TSval=1054095228 TSecr=216036525
180,4.828556,10.19.6.231,118.214.44.253,TCP,66,0.000065,55328  >  443 [ACK] Seq=3537 Ack=29804 Win=128128 Len=0 TSval=1054095236 TSecr=216036525
184,4.835893,10.19.6.231,118.214.44.253,TCP,66,0.000077,55328  >  443 [ACK] Seq=3537 Ack=32700 Win=129600 Len=0 TSval=1054095243 TSecr=216036526
186,4.842464,10.19.6.231,118.214.44.253,TCP,66,0.000086,55328  >  443 [ACK] Seq=3537 Ack=33675 Win=130048 Len=0 TSval=1054095249 TSecr=216036527
196,5.181511,118.214.44.253,10.19.6.231,TCP,66,0.001422,443  >  55328 [ACK] Seq=33675 Ack=6285 Win=31232 Len=0 TSval=216036561 TSecr=1054095585
209,5.240485,10.19.6.231,118.214.44.253,TCP,66,0.000122,55328  >  443 [ACK] Seq=6285 Ack=36571 Win=129600 Len=0 TSval=1054095643 TSecr=216036567
210,5.240485,10.19.6.231,118.214.44.253,TCP,66,0.000118,55328  >  443 [ACK] Seq=6285 Ack=37859 Win=128320 Len=0 TSval=1054095643 TSecr=216036567
212,5.242545,10.19.6.231,118.214.44.253,TCP,66,0.000126,55328  >  443 [ACK] Seq=6285 Ack=39307 Win=131072 Len=0 TSval=1054095645 TSecr=216036567
214,5.242888,10.19.6.231,118.214.44.253,TCP,66,0.00005,55328  >  443 [ACK] Seq=6285 Ack=40755 Win=129600 Len=0 TSval=1054095645 TSecr=216036567
216,5.247876,10.19.6.231,118.214.44.253,TCP,66,0.000096,55328  >  443 [ACK] Seq=6285 Ack=42203 Win=129600 Len=0 TSval=1054095650 TSecr=216036567
218,5.248147,10.19.6.231,118.214.44.253,TCP,66,0.000055,55328  >  443 [ACK] Seq=6285 Ack=43651 Win=129600 Len=0 TSval=1054095650 TSecr=216036567
221,5.253427,10.19.6.231,118.214.44.253,TCP,66,0.000065,55328  >  443 [ACK] Seq=6285 Ack=46547 Win=128128 Len=0 TSval=1054095655 TSecr=216036568
224,5.257999,10.19.6.231,118.214.44.253,TCP,66,0.000075,55328  >  443 [ACK] Seq=6285 Ack=47995 Win=129600 Len=0 TSval=1054095660 TSecr=216036568
226,5.258508,10.19.6.231,118.214.44.253,TCP,66,0.000064,55328  >  443 [ACK] Seq=6285 Ack=49443 Win=128128 Len=0 TSval=1054095660 TSecr=216036568
230,5.263501,10.19.6.231,118.214.44.253,TCP,66,0.000055,55328  >  443 [ACK] Seq=6285 Ack=52339 Win=128128 Len=0 TSval=1054095665 TSecr=216036569
233,5.268785,10.19.6.231,118.214.44.253,TCP,66,0.000074,55328  >  443 [ACK] Seq=6285 Ack=55235 Win=125248 Len=0 TSval=1054095670 TSecr=216036570
238,5.274076,10.19.6.231,118.214.44.253,TCP,66,0.000067,55328  >  443 [ACK] Seq=6285 Ack=58131 Win=129600 Len=0 TSval=1054095675 TSecr=216036570
